search_mode,xml,reorder,system_prompt,pass_count,total_count,pass_rate_percent,avg_time_seconds
hybrid,false,true,inline,47,68,69.12,11.72
hybrid,false,true,none,47,68,69.12,12.19
hybrid,true,true,inline,46,68,67.65,9.71
vector,false,true,none,45,68,66.18,6.34
vector,false,true,inline,45,68,66.18,6.38
vector,false,true,system,45,68,66.18,6.59
hybrid,true,true,none,45,68,66.18,11.23
vector,true,true,none,44,68,64.71,5.77
vector,true,true,inline,44,68,64.71,5.94
hybrid,false,true,system,44,68,64.71,12.09
vector,true,true,system,43,68,63.24,5.66
vector,false,false,none,42,68,61.76,7.00
hybrid,true,true,system,42,68,61.76,11.08
vector,true,false,system,41,68,60.29,5.62
vector,true,false,none,41,68,60.29,5.64
vector,false,false,system,41,68,60.29,6.47
vector,false,false,inline,41,68,60.29,6.81
vector,true,false,inline,40,68,58.82,5.42
hybrid,true,false,inline,34,68,50.00,11.21
hybrid,false,false,system,33,68,48.53,6.37
hybrid,true,false,none,33,68,48.53,11.77
hybrid,false,false,none,32,68,47.06,6.42
hybrid,false,false,inline,32,68,47.06,9.04
hybrid,true,false,system,32,68,47.06,11.44
fts,true,true,system,22,68,32.35,5.62
fts,true,true,inline,22,68,32.35,5.79
fts,false,true,inline,22,68,32.35,6.20
fts,false,true,system,22,68,32.35,6.42
fts,false,true,none,22,68,32.35,6.46
fts,true,true,none,21,68,30.88,5.59
fts,false,false,system,21,68,30.88,5.60
fts,true,false,system,20,68,29.41,5.79
fts,false,false,inline,19,68,27.94,5.75
fts,true,false,inline,18,68,26.47,5.59
fts,true,false,none,18,68,26.47,5.89
fts,false,false,none,18,68,26.47,6.07
